form	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Quanta	quantus	_	Plur	_	_	Nom	Neut	2	PROint
autem	autem	_	_	_	_	_	_	_	CONcoo
uitia	uitium	_	Plur	_	_	Nom	_	_	NOM
Romanorum	Romanus	_	Plur	_	_	Gen	_	_	NOM
sint	sum	_	Plur	3	Sub|Pres|Act	_	_	1	VER
quibus	qui	_	Plur	_	_	Abl	Com	1	PROrel
barbarae	barbarus	Pos	Plur	_	_	Nom	Fem	2	ADJqua
gentes	gens	_	Plur	_	_	Nom	_	_	NOM
non	non	_	_	_	_	_	_	_	ADVneg
inquinantur	inquino	_	Plur	3	Ind|Pres|Pass	_	_	_	VER
licet	licet	_	_	_	_	_	_	3	CONsub
hactenus	hactenus	Pos	_	_	_	_	_	_	ADV
satis	satis	Pos	_	_	_	_	_	2	ADV
dixerim	dico	_	Sing	1	Sub|Perf|Act	_	_	2	VER
addam	addo	_	Sing	1	Ind|Fut|Act	_	_	_	VER
tamen	tamen	Pos	_	_	_	_	_	_	ADV
multa	multus	Pos	Plur	_	_	Acc	Neut	_	ADJqua
quae	qui	_	Plur	_	_	Nom	Neut	1	PROrel
desunt	desum	_	Plur	3	Ind|Pres|Act	_	_	1	VER

sed	sed	_	_	_	_	_	_	_	CONcoo
illud	ille	_	Sing	_	_	Acc	Neut	_	PROdem
admoneo	admoneo	_	Sing	1	Ind|Pres|Act	_	_	_	VER
tamen	tamen	Pos	_	_	_	_	_	_	ADV
antequam	antequam	_	_	_	_	_	_	_	CONsub
dico	dico	_	Sing	1	Ind|Pres|Act	_	_	2	VER
ne	ne	_	_	_	_	_	_	4	CONsub
ullum	ullus	_	Sing	_	_	Nom	Neut	_	PROind
penitus	penitus	Pos	_	_	_	_	_	2	ADV
culpae	culpa	_	Sing	_	_	Gen	_	_	NOM
genus	genus	_	Sing	_	_	Nom	_	1	NOM
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
ad	ad	_	_	_	_	_	_	2	PRE
contumeliam	contumelia	_	Sing	_	_	Acc	_	_	NOM
dei	deus	_	Sing	_	_	Gen	_	_	NOM
pertinet	pertineo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
cuiquam	quisquam	_	Sing	_	_	Dat	Com	_	PROind
leue	leuis	Pos	Sing	_	_	Nom	Neut	1	ADJqua
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
uideatur	uideo	_	Sing	3	Sub|Pres|Pass	_	_	_	VER

si	si	_	_	_	_	_	_	2	CONsub
enim	enim	_	_	_	_	_	_	2	CONcoo
inlustrem	illustris	Pos	Sing	_	_	Acc	MascFem	_	ADJqua
ac	ac	_	_	_	_	_	_	1	CONcoo
praepotentem	praepotens	Pos	Sing	_	_	Acc	MascFem	_	ADJqua
uirum	uir	_	Sing	_	_	Acc	_	_	NOM
nequaquam	nequaquam	_	_	_	_	_	_	_	ADVneg
exhonorari	exhonoro	_	_	_	Inf|Pres|Pass	_	_	_	VER
a	ab	_	_	_	_	_	_	_	PRE
quoquam	quisquam	_	Sing	_	_	Abl	MascNeut	_	PROind
licet	licet	_	Sing	3	Ind|Pres|Act	_	_	1	VER
et	et	_	_	_	_	_	_	2	CONcoo
si	si	_	_	_	_	_	_	2	CONsub
quisquam	quisquam	_	Sing	_	_	Nom	Masc	_	PROind
exhonorauerit	exhonoro	_	Sing	3	Sub|Perf|Act	_	_	_	VER
decretis	decretum	_	Plur	_	_	Abl	_	_	NOM
